,births_2020_21,deaths_2020_21,state_name_2016,,,
,37,52,New South Wales,,,
,105,215,New South Wales,,,
,59,47,New South Wales,,,
,40,188,New South Wales,,,
,211,211,New South Wales,,,
,105,69,New South Wales,,,
,56,65,New South Wales,,,
,47,25,New South Wales,,,
,63,129,New South Wales,,,
,179,137,New South Wales,,,
,32,27,New South Wales,,,
,73,59,New South Wales,,,
,39,29,New South Wales,,,
,42,85,New South Wales,,,
,60,71,New South Wales,,,
,76,88,New South Wales,,,
,58,63,New South Wales,,,
,39,25,New South Wales,,,
,69,57,New South Wales,,,
,41,36,New South Wales,,,
,86,107,New South Wales,,,
,144,119,New South Wales,,,
,54,42,New South Wales,,,
,55,70,New South Wales,,,
,58,71,New South Wales,,,
,82,22,New South Wales,,,
,118,88,New South Wales,,,
,135,78,New South Wales,,,
,72,30,New South Wales,,,
,124,103,New South Wales,,,
,23,25,New South Wales,,,
,103,66,New South Wales,,,
,64,27,New South Wales,,,
,201,80,New South Wales,,,
,63,32,New South Wales,,,
,79,60,New South Wales,,,
,276,108,New South Wales,,,
,238,201,New South Wales,,,
,59,68,New South Wales,,,
,123,31,New South Wales,,,
,210,154,New South Wales,,,
,173,86,New South Wales,,,
,201,165,New South Wales,,,
,241,188,New South Wales,,,
,53,55,New South Wales,,,
,58,35,Victoria,,,
,316,148,New South Wales,,,
,144,34,New South Wales,,,
,302,207,New South Wales,,,
,115,149,New South Wales,,,
,23,32,Victoria,,,
,26,56,New South Wales,,,
,104,115,New South Wales,,,
,134,77,New South Wales,,,
,102,78,New South Wales,,,
,184,80,New South Wales,,,
,131,164,New South Wales,,,
,31,39,Victoria,,,
,107,58,New South Wales,,,
,213,135,New South Wales,,,
,176,223,New South Wales,,,
,151,161,New South Wales,,,
,90,61,New South Wales,,,
,67,30,New South Wales,,,
,111,27,New South Wales,,,
,23,208,New South Wales,,,
,103,60,New South Wales,,,
,130,107,New South Wales,,,
,206,41,New South Wales,,,
,208,202,New South Wales,,,
,157,128,New South Wales,,,
,32,42,New South Wales,,,
,28,13,New South Wales,,,
,114,71,New South Wales,,,
,273,267,New South Wales,,,
,162,211,New South Wales,,,
,115,44,New South Wales,,,
,0,0,New South Wales,,,
,55,39,New South Wales,,,
,146,137,New South Wales,,,
,104,35,New South Wales,,,
,105,53,New South Wales,,,
,258,81,New South Wales,,,
,88,74,New South Wales,,,
,31,29,New South Wales,,,
,121,39,New South Wales,,,
,162,286,New South Wales,,,
,166,142,New South Wales,,,
,66,36,New South Wales,,,
,84,63,New South Wales,,,
,33,42,New South Wales,,,
,77,110,New South Wales,,,
,38,28,New South Wales,,,
,95,47,New South Wales,,,
,119,75,New South Wales,,,
,181,136,New South Wales,,,
,70,45,New South Wales,,,
,66,35,New South Wales,,,
,63,80,New South Wales,,,
,176,146,New South Wales,,,
,76,63,New South Wales,,,
,338,150,New South Wales,,,
,141,177,New South Wales,,,
